,id,category,list_type,beds,baths,sq_ft_price,price_KES,district,neighborhood,street,latitude,longitude,clean_grab
1379,3389238,Flat & Apartment,For Rent, 1,0,0,170000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1380,3413543,Flat & Apartment,For Rent, 2, 2,0,240000,Westlands,Waiyaki Way,0,-1.2685652,36.8057413,OK
1381,3412370,Flat & Apartment,For Rent, 3, 4,66,200000,Westlands,Parklands,Limuru Road,-1.2620531,36.8255104,OK
1382,3403096,Flat & Apartment,For Rent, 1, 1,67,85000,Dagoretti North,Dennis Pritt,0,-1.286516,36.7988595,OK
1383,3411371,Flat & Apartment,For Rent, 5,0,0,300000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1384,3410773,Flat & Apartment,For Rent, 4,0,0,150000,Westlands,General Mathenge,0,-1.2539757,36.7996946,OK
1385,3429615,Studio,For Rent, 1, 1,46,13000,Dagoretti North,Naivasha Road,Darajani,-1.2809462,36.7366141,OK
1386,3410035,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Lavington,0,-1.278937,36.7777984,OK
1387,3410973,Flat & Apartment,For Rent, 2,0,0,100000,Thika Road,0,0,-1.2163932,36.8949246,OK
1388,3374884,Flat & Apartment,For Rent, 3, 3,47,65000,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),-1.2582074,36.7224933,OK
1389,3410817,Flat & Apartment,For Rent, 3,0,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
1390,3410980,Flat & Apartment,For Rent, 3,0,0,135000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1391,3410981,Flat & Apartment,For Rent, 5,0,0,170000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1392,3409135,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1393,3412468,Flat & Apartment,For Rent, 2,0,0,120000,Dagoretti North,Kileleshwa,0,-1.2807389,36.7816864,OK
1394,3410970,Flat & Apartment,For Rent, 1,0,0,80000,Thika Road,0,0,-1.2163932,36.8949246,OK
1395,3408622,Flat & Apartment,For Rent, 2, 2,0,140000,Westlands,Westlands Area,Mpaka Road,-1.2657173,36.8035126,OK
